,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,good_wine
134,7.9,1.04,0.05,0.084,29.0,0.9959,0.55,9.9,6,1
135,8.4,0.745,0.11,0.09,63.0,0.9965,0.82,9.6,5,0
136,8.3,0.715,0.15,0.08900000000000001,52.0,0.9968,0.77,9.5,5,0
137,7.2,0.415,0.36,0.081,45.0,0.9972,0.64,9.2,5,0
138,7.8,0.56,0.19,0.081,105.0,0.9962,0.54,9.5,5,0
139,7.8,0.56,0.19,0.081,108.0,0.9962,0.54,9.5,5,0
140,8.4,0.745,0.11,0.09,63.0,0.9965,0.82,9.6,5,0
141,8.3,0.715,0.15,0.08900000000000001,52.0,0.9968,0.77,9.5,5,0
142,5.2,0.34,0.0,0.05,63.0,0.9916,0.79,14.0,6,1
143,6.3,0.39,0.08,0.066,20.0,0.9954,0.58,9.4,5,0
144,5.2,0.34,0.0,0.05,63.0,0.9916,0.79,14.0,6,1
145,8.1,0.67,0.55,0.117,141.0,0.9968,0.62,9.4,5,0
146,5.8,0.68,0.02,0.087,94.0,0.9944,0.52,10.0,5,0
147,7.6,0.49,0.26,0.236,88.0,0.9968,0.8,9.3,5,0
148,6.9,0.49,0.1,0.07400000000000001,30.0,0.9959,0.58,10.2,6,1
149,8.2,0.4,0.44,0.08900000000000001,43.0,0.9975,0.61,10.5,6,1
150,7.3,0.33,0.47,0.077,11.0,0.9958,0.53,10.3,6,1
151,9.2,0.52,1.0,0.61,69.0,0.9996,2.0,9.4,4,0
152,7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5,0
153,7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5,0
154,7.1,0.43,0.42,0.07,129.0,0.9973,0.72,10.5,5,0
155,7.1,0.43,0.42,0.071,128.0,0.9973,0.71,10.5,5,0
156,7.1,0.43,0.42,0.07,129.0,0.9973,0.72,10.5,5,0
157,7.1,0.43,0.42,0.071,128.0,0.9973,0.71,10.5,5,0
158,7.1,0.68,0.0,0.073,22.0,0.9969,0.5,9.3,5,0
159,6.8,0.6,0.18,0.079,86.0,0.9968,0.57,9.3,6,1
160,7.6,0.95,0.03,0.09,20.0,0.9959,0.56,9.6,5,0
161,7.6,0.68,0.02,0.07200000000000001,20.0,0.9965,1.08,9.2,4,0
162,7.8,0.53,0.04,0.076,31.0,0.9964,0.56,10.0,6,1
163,7.4,0.6,0.26,0.07,121.0,0.9982,0.49,9.4,5,0
164,7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4,5,0
165,7.8,0.63,0.48,0.1,96.0,0.9961,0.62,9.5,5,0
166,6.8,0.64,0.1,0.085,101.0,0.9956,0.52,10.2,5,0
167,7.3,0.55,0.03,0.07200000000000001,42.0,0.9956,0.48,9.0,4,0
168,6.8,0.63,0.07,0.08900000000000001,44.0,0.9953,0.55,10.4,6,1
169,7.5,0.705,0.24,0.36,63.0,0.9964,1.59,9.5,5,0
170,7.9,0.885,0.03,0.058,8.0,0.9972,0.33,9.1,4,0
171,8.0,0.42,0.17,0.073,18.0,0.9972,0.61,9.2,6,1
172,8.0,0.42,0.17,0.073,18.0,0.9972,0.61,9.2,6,1
173,7.4,0.62,0.05,0.068,42.0,0.9961,0.57,11.5,6,1
174,7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5,5,0
175,6.9,0.5,0.04,0.085,49.0,0.9958,0.78,9.5,5,0
176,7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5,5,0
177,7.5,0.52,0.42,0.087,38.0,0.9972,0.61,10.5,6,1
178,7.0,0.805,0.0,0.068,20.0,0.9969,0.56,9.6,5,0
179,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5,0
180,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5,0
181,8.9,0.61,0.49,0.27,110.0,0.9972,1.02,9.3,5,0
182,7.2,0.73,0.02,0.076,42.0,0.9972,0.52,9.3,5,0
183,6.8,0.61,0.2,0.077,65.0,0.9971,0.58,9.3,5,0
184,6.7,0.62,0.21,0.079,62.0,0.997,0.58,9.3,6,1
185,8.9,0.31,0.57,0.111,85.0,0.9971,0.53,9.7,5,0
186,7.4,0.39,0.48,0.08199999999999999,67.0,0.9972,0.55,9.2,5,0
187,7.7,0.705,0.1,0.084,26.0,0.9976,0.49,9.7,5,0
188,7.9,0.5,0.33,0.084,143.0,0.9968,0.55,9.5,5,0
189,7.9,0.49,0.32,0.08199999999999999,144.0,0.9968,0.55,9.5,5,0
190,8.2,0.5,0.35,0.077,127.0,0.9976,0.62,9.4,5,0
191,6.4,0.37,0.25,0.07400000000000001,49.0,0.9974,0.62,9.8,6,1
192,6.8,0.63,0.12,0.099,126.0,0.9969,0.61,9.5,5,0
193,7.6,0.55,0.21,0.071,28.0,0.9964,0.55,9.7,5,0
194,7.6,0.55,0.21,0.071,28.0,0.9964,0.55,9.7,5,0
195,7.8,0.59,0.33,0.07400000000000001,120.0,0.9968,0.54,9.4,5,0
196,7.3,0.58,0.3,0.07400000000000001,55.0,0.9968,0.59,10.2,5,0
197,11.5,0.3,0.6,0.067,27.0,0.9981,0.97,10.1,6,1
198,5.4,0.835,0.08,0.046,93.0,0.9924,0.85,13.0,7,1
199,6.9,1.09,0.06,0.061,31.0,0.9948,0.43,11.4,4,0
200,9.6,0.32,0.47,0.056,24.0,0.99695,0.82,10.3,7,1
201,8.8,0.37,0.48,0.097,145.0,0.9975,1.03,9.3,5,0
202,6.8,0.5,0.11,0.075,49.0,0.99545,0.79,9.5,5,0
203,7.0,0.42,0.35,0.08800000000000001,39.0,0.9961,0.55,9.2,5,0
204,7.0,0.43,0.36,0.08900000000000001,37.0,0.99615,0.56,9.2,6,1
205,12.8,0.3,0.74,0.095,28.0,0.9994,0.77,10.8,7,1
206,12.8,0.3,0.74,0.095,28.0,0.9994,0.77,10.8,7,1
207,7.8,0.57,0.31,0.069,120.0,0.99625,0.53,9.3,5,0
208,7.8,0.44,0.28,0.1,95.0,0.9966,0.67,9.4,5,0
209,11.0,0.3,0.58,0.054000000000000006,19.0,0.998,0.88,10.5,7,1
210,9.7,0.53,0.6,0.039,19.0,0.99585,0.86,12.4,6,1
211,8.0,0.725,0.24,0.083,62.0,0.99685,0.56,10.0,6,1
212,11.6,0.44,0.64,0.059,15.0,0.998,0.67,10.2,6,1
213,8.2,0.57,0.26,0.06,65.0,0.9959,0.43,10.1,5,0
214,7.8,0.735,0.08,0.092,41.0,0.9974,0.71,9.8,6,1
215,7.0,0.49,0.49,0.06,121.0,0.9974,0.76,10.5,5,0
216,8.7,0.625,0.16,0.101,49.0,0.9962,0.57,11.0,5,0
217,8.1,0.725,0.22,0.07200000000000001,41.0,0.9967,0.55,9.1,5,0
218,7.5,0.49,0.19,0.076,44.0,0.9957,0.54,9.7,5,0
219,7.8,0.53,0.33,0.08,144.0,0.99655,0.6,9.5,5,0
220,7.8,0.34,0.37,0.08199999999999999,58.0,0.9964,0.59,9.4,6,1
221,7.4,0.53,0.26,0.101,72.0,0.9957,0.57,9.4,5,0
222,6.8,0.61,0.04,0.057,10.0,0.99525,0.6,9.5,5,0
223,8.6,0.645,0.25,0.083,28.0,0.99815,0.6,10.0,6,1
224,8.4,0.635,0.36,0.08900000000000001,55.0,0.99745,0.57,10.4,4,0
225,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6,1
226,8.9,0.59,0.5,0.337,81.0,0.9964,1.61,9.5,6,1
227,9.0,0.82,0.14,0.08900000000000001,23.0,0.9984,0.63,9.8,5,0
228,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6,1
229,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5,0
230,5.2,0.48,0.04,0.054000000000000006,106.0,0.9927,0.62,12.2,7,1
231,8.0,0.38,0.06,0.078,49.0,0.99625,0.52,9.9,6,1
232,8.5,0.37,0.2,0.09,58.0,0.998,0.7,9.6,6,1
233,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5,0
234,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6,1
235,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,9.0,6,1
236,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,9.0,6,1
237,7.2,0.645,0.0,0.097,39.0,0.99675,0.58,9.2,6,1
238,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,9.0,6,1
239,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6,1
240,8.9,0.635,0.37,0.263,62.0,0.9971,1.09,9.3,5,0
241,12.0,0.38,0.56,0.093,24.0,0.99925,0.71,10.9,6,1
242,7.7,0.58,0.1,0.102,109.0,0.99565,0.49,9.8,6,1
243,15.0,0.21,0.44,0.075,24.0,1.00005,0.84,9.2,7,1
244,15.0,0.21,0.44,0.075,24.0,1.00005,0.84,9.2,7,1
245,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6,1
246,7.1,0.68,0.07,0.075,51.0,0.99685,0.52,9.5,5,0
247,8.2,0.6,0.17,0.07200000000000001,73.0,0.9963,0.45,9.3,5,0
248,7.7,0.53,0.06,0.07400000000000001,39.0,0.99615,0.48,9.8,6,1
249,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6,1
250,10.8,0.32,0.44,0.063,37.0,0.9985,0.78,10.0,6,1
251,7.1,0.6,0.0,0.07400000000000001,34.0,0.9972,0.7,9.9,6,1
252,11.1,0.35,0.48,0.09,21.0,0.9986,0.53,10.5,5,0
253,7.7,0.775,0.42,0.092,86.0,0.9959,0.59,9.5,5,0
254,7.1,0.6,0.0,0.07400000000000001,34.0,0.9972,0.7,9.9,6,1
255,8.0,0.57,0.23,0.073,119.0,0.99675,0.57,9.3,5,0
256,9.4,0.34,0.37,0.075,13.0,0.998,0.62,9.2,5,0
257,6.6,0.695,0.0,0.075,56.0,0.9968,0.67,9.2,5,0
258,7.7,0.41,0.76,0.611,45.0,0.9968,1.26,9.4,5,0
259,10.0,0.31,0.47,0.085,33.0,0.99965,0.8,10.5,7,1
260,7.9,0.33,0.23,0.077,45.0,0.99625,0.65,9.3,5,0
261,7.0,0.975,0.04,0.087,67.0,0.99565,0.6,9.4,4,0
262,8.0,0.52,0.03,0.07,35.0,0.99575,0.57,10.0,5,0
263,7.9,0.37,0.23,0.077,49.0,0.9963,0.67,9.3,5,0
264,12.5,0.56,0.49,0.064,27.0,0.9999,0.87,10.9,5,0
265,11.8,0.26,0.52,0.071,10.0,0.9968,0.72,10.2,7,1
266,8.1,0.87,0.0,0.096,61.0,1.00025,0.72,9.8,4,0
267,7.9,0.35,0.46,0.078,37.0,0.9973,0.86,12.8,8,1
268,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6,1
269,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6,1
270,7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7,6,1
271,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6,1
272,10.9,0.37,0.58,0.071,65.0,0.99935,0.78,10.1,5,0
273,8.4,0.715,0.2,0.076,38.0,0.99735,0.64,9.4,5,0
274,7.5,0.65,0.18,0.08800000000000001,94.0,0.99915,0.77,9.4,5,0
275,7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7,6,1
276,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6,1
277,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6,1
278,10.3,0.32,0.45,0.073,13.0,0.9976,0.82,12.6,8,1
279,8.9,0.4,0.32,0.087,47.0,0.9991,0.77,10.5,7,1
280,11.4,0.26,0.44,0.071,19.0,0.9986,0.82,9.3,6,1
281,7.7,0.27,0.68,0.358,10.0,0.9972,1.08,9.9,7,1
282,7.6,0.52,0.12,0.067,53.0,0.9971,0.57,9.1,5,0
283,8.9,0.4,0.32,0.087,47.0,0.9991,0.77,10.5,7,1
284,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5,0
285,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5,0
286,12.0,0.45,0.55,0.073,49.0,0.9997,0.76,10.3,6,1
287,7.5,0.4,0.12,0.092,53.0,0.9967,0.7,10.3,6,1
288,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7,1
289,11.6,0.42,0.53,0.105,98.0,1.001,0.95,9.2,5,0
290,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7,1
291,11.0,0.2,0.48,0.343,18.0,0.9979,0.71,10.5,5,0
292,10.4,0.55,0.23,0.091,48.0,0.9994,0.64,10.3,6,1
293,6.9,0.36,0.25,0.098,16.0,0.9964,0.6,10.1,6,1
294,13.3,0.34,0.52,0.094,53.0,1.0014,0.81,9.5,6,1
295,10.8,0.5,0.46,0.073,27.0,1.0001,0.64,9.5,5,0
296,10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9,5,0
297,7.1,0.63,0.06,0.083,29.0,0.99855,0.73,9.6,5,0
298,7.2,0.65,0.02,0.094,31.0,0.9993,0.8,9.7,5,0
299,6.9,0.67,0.06,0.08,33.0,0.99845,0.71,9.6,5,0
300,7.5,0.53,0.06,0.086,44.0,0.9965,0.59,10.7,6,1
301,11.1,0.18,0.48,0.068,15.0,0.9973,0.64,10.1,6,1
302,8.3,0.705,0.12,0.092,28.0,0.9994,0.72,10.0,5,0
303,7.4,0.67,0.12,0.18600000000000005,21.0,0.996,0.54,9.5,5,0
304,8.4,0.65,0.6,0.112,90.0,0.9973,0.52,9.2,5,0
305,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6,1
306,7.6,0.62,0.32,0.08199999999999999,54.0,0.9966,0.52,9.4,5,0
307,10.3,0.41,0.42,0.213,14.0,0.9994,0.62,9.5,6,1
308,10.3,0.43,0.44,0.214,12.0,0.9994,0.63,9.5,6,1
309,7.4,0.29,0.38,0.062,30.0,0.9968,0.53,9.5,6,1
310,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6,1
311,7.9,0.53,0.24,0.07200000000000001,105.0,0.996,0.54,9.4,6,1
312,9.0,0.46,0.31,0.093,98.0,0.99815,0.63,9.5,6,1
313,8.6,0.47,0.3,0.076,135.0,0.9976,0.53,9.4,5,0
314,7.4,0.36,0.29,0.087,72.0,0.99645,0.68,11.0,5,0
315,7.1,0.35,0.29,0.096,53.0,0.9962,0.65,11.0,6,1
316,9.6,0.56,0.23,0.102,92.0,0.9996,0.65,10.1,5,0
317,9.6,0.77,0.12,0.08199999999999999,74.0,0.99865,0.64,10.4,6,1
318,9.8,0.66,0.39,0.083,59.0,0.9989,0.71,11.5,7,1
319,9.6,0.77,0.12,0.08199999999999999,74.0,0.99865,0.64,10.4,6,1
320,9.8,0.66,0.39,0.083,59.0,0.9989,0.71,11.5,7,1
321,9.3,0.61,0.26,0.09,87.0,0.99975,0.62,9.7,5,0
322,7.8,0.62,0.05,0.079,18.0,0.99735,0.63,9.3,5,0
323,10.3,0.59,0.42,0.09,73.0,0.999,0.7,9.5,6,1
324,10.0,0.49,0.2,0.071,50.0,1.0015,0.69,9.2,6,1
325,10.0,0.49,0.2,0.071,50.0,1.0015,0.69,9.2,6,1
326,11.6,0.53,0.66,0.121,14.0,0.9978,0.74,11.5,7,1
327,10.3,0.44,0.5,0.107,13.0,0.998,0.83,11.5,5,0
328,13.4,0.27,0.62,0.08199999999999999,21.0,1.0002,0.67,9.7,6,1
329,10.7,0.46,0.39,0.061,15.0,0.9981,0.62,9.5,5,0
330,10.2,0.36,0.64,0.122,41.0,0.998,0.66,12.5,6,1
331,10.2,0.36,0.64,0.122,41.0,0.998,0.66,12.5,6,1
332,8.0,0.58,0.28,0.066,114.0,0.9973,0.54,9.4,6,1
333,8.4,0.56,0.08,0.105,44.0,0.9958,0.52,11.0,5,0
334,7.9,0.65,0.01,0.078,38.0,0.9963,0.74,11.7,7,1
335,11.9,0.695,0.53,0.128,21.0,0.9992,0.84,12.2,7,1
336,8.9,0.43,0.45,0.052000000000000005,16.0,0.9948,0.7,12.5,6,1
337,7.8,0.43,0.32,0.08,58.0,0.9974,0.64,10.3,5,0
338,12.4,0.49,0.58,0.103,99.0,1.0008,1.0,11.5,6,1
339,12.5,0.28,0.54,0.08199999999999999,29.0,0.9997,1.36,9.8,7,1
340,12.2,0.34,0.5,0.066,21.0,1.0,1.18,9.2,6,1
341,10.6,0.42,0.48,0.065,18.0,0.9972,0.87,11.3,6,1
342,10.9,0.39,0.47,0.118,14.0,0.9982,0.75,9.8,6,1
343,10.9,0.39,0.47,0.118,14.0,0.9982,0.75,9.8,6,1
344,11.9,0.57,0.5,0.08199999999999999,32.0,1.0006,0.78,10.7,6,1
345,7.0,0.685,0.0,0.067,63.0,0.9979,0.81,9.9,5,0
346,6.6,0.815,0.02,0.07200000000000001,34.0,0.9955,0.89,12.3,7,1
347,13.8,0.49,0.67,0.093,15.0,0.9986,0.93,12.0,6,1
348,9.6,0.56,0.31,0.08900000000000001,46.0,0.9979,0.92,10.0,6,1
